영상 ID,영상 길이 (초),프레임 수 (개),방문한 방 수 (개),층간 이동 수
000,33,99,1,0
001,40,120,2,0
002,27,82,1,0
003,40,120,2,0
004,33,100,2,0
005,40,120,4,0
006,40,120,2,1
007,40,120,2,1
008,27,82,1,1
010,40,120,4,0
011,36,109,2,0
012,40,120,3,1
013,40,120,3,0
014,40,120,1,0
015,40,120,2,1
016,40,120,3,0
017,40,120,2,0
018,40,120,3,1
019,40,120,2,0
021,22,342,6,1
023,16,254,6,0
024,7,109,4,0
025,4,69,2,0
026,12,180,5,0
028,8,134,3,0
029,11,175,5,0
030,40,120,2,0
031,37,113,1,0
032,40,120,3,1
033,40,120,2,1
035,40,120,2,0
036,40,120,2,1
037,27,83,3,0
038,17,261,7,0
039,6,92,2,0
040,18,280,3,1
041,23,351,3,1
042,19,291,3,1
046,40,120,3,1
048,40,120,2,1
049,40,120,2,0
050,40,120,3,1
055,17,263,6,1
056,12,193,4,1
057,6,99,3,0
058,11,175,4,1
059,7,112,3,0
068,26,400,3,2
069,21,319,4,1
072,40,120,2,1
073,40,120,2,1
083,22,330,6,1
084,19,293,4,1
086,7,108,3,0
087,12,180,5,0
088,5,89,2,0
089,10,155,3,0
092,19,291,2,1
094,19,299,3,1
096,13,205,6,1
097,7,105,3,0
098,9,143,3,1
099,20,302,5,1
